FlightID,RouteCode,Origin,Destination,RouteType,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude
FL119282,GOI-DEL,GOI,DEL,Domestic,2025-02-06,150,Airbus A321,220,150,759090.98,983828.57,15.3808,73.8314,28.5562,77.1
FL119283,DEL-MAA,DEL,MAA,Domestic,2025-08-02,167,Airbus A320,180,122,683557.27,553934.94,28.5562,77.1,12.9941,80.1709
FL119284,HYD-DXB,HYD,DXB,International,2025-05-21,208,Boeing 737,174,122,1720552.03,1544172.07,17.2403,78.4294,25.2532,55.3657
FL119285,DEL-CCU,DEL,CCU,Domestic,2025-10-21,137,Airbus A320,180,129,682964.02,522759.94,28.5562,77.1,22.6547,88.4467
FL119286,HYD-MAA,HYD,MAA,Domestic,2025-09-06,65,Airbus A320,180,156,618668.64,398266.62,17.2403,78.4294,12.9941,80.1709
FL119287,JAI-DEL,JAI,DEL,Domestic,2025-01-28,45,Airbus A321,220,199,650475.0,794041.76,26.8242,75.8122,28.5562,77.1
FL119288,BLR-KUL,BLR,KUL,International,2025-11-10,240,Airbus A321,220,194,2782497.17,1567271.36,13.1986,77.7066,2.7456,101.7072
FL119289,COK-DEL,COK,DEL,Domestic,2025-09-15,188,Airbus A321,220,205,1245613.14,551583.33,10.152,76.4019,28.5562,77.1
FL119290,BLR-PNQ,BLR,PNQ,Domestic,2025-03-12,88,Airbus A320,180,147,543391.8,461070.09,13.1986,77.7066,18.5821,73.9197
FL119291,BOM-CCU,BOM,CCU,Domestic,2025-11-30,152,Airbus A321,220,161,969539.97,521774.82,19.0896,72.8656,22.6547,88.4467
FL119292,GOI-BOM,GOI,BOM,Domestic,2025-10-23,65,Airbus A321,220,165,578131.6,935801.61,15.3808,73.8314,19.0896,72.8656
FL119293,PNQ-BLR,PNQ,BLR,Domestic,2025-10-18,81,Airbus A320,180,165,621281.61,439421.1,18.5821,73.9197,13.1986,77.7066
FL119294,GOI-DEL,GOI,DEL,Domestic,2025-09-12,145,Airbus A320,180,126,637512.75,942363.13,15.3808,73.8314,28.5562,77.1
FL119295,HYD-COK,HYD,COK,Domestic,2025-02-09,96,Airbus A320,180,141,674240.01,394125.32,17.2403,78.4294,10.152,76.4019
FL119296,HYD-COK,HYD,COK,Domestic,2025-03-04,96,Airbus A320,180,125,406621.13,416362.77,17.2403,78.4294,10.152,76.4019
FL119297,DEL-CCU,DEL,CCU,Domestic,2025-04-21,138,Airbus A320,180,140,747548.08,436243.53,28.5562,77.1,22.6547,88.4467
FL119298,DEL-JFK,DEL,JFK,International,2025-01-27,890,Boeing 787,250,178,4061585.16,3368109.9,28.5562,77.1,40.6413,-73.7781
FL119299,BLR-SIN,BLR,SIN,International,2025-06-06,272,Airbus A321,220,121,1895622.0,1655896.99,13.1986,77.7066,1.3644,103.9915
FL119300,BOM-MAA,BOM,MAA,Domestic,2025-02-18,104,Airbus A321,220,136,671971.0,505661.75,19.0896,72.8656,12.9941,80.1709
FL119301,PNQ-DEL,PNQ,DEL,Domestic,2025-01-15,128,Airbus A320,180,113,563295.51,503536.83,18.5821,73.9197,28.5562,77.1
FL119302,BLR-DXB,BLR,DXB,International,2025-05-05,241,Boeing 787,250,232,3018830.69,2031960.1,13.1986,77.7066,25.2532,55.3657
FL119303,LKO-DEL,LKO,DEL,Domestic,2025-10-05,70,Airbus A321,220,196,774899.56,737805.18,26.7606,80.8893,28.5562,77.1
FL119304,GOI-BOM,GOI,BOM,Domestic,2025-02-10,70,Airbus A320,180,124,472385.09,995935.74,15.3808,73.8314,19.0896,72.8656
FL119305,BLR-SIN,BLR,SIN,International,2025-11-29,272,Boeing 787,250,163,2061752.73,1736833.48,13.1986,77.7066,1.3644,103.9915
FL119306,JAI-DEL,JAI,DEL,Domestic,2025-04-19,45,Boeing 737,174,156,386112.39,690933.34,26.8242,75.8122,28.5562,77.1
FL119307,HYD-MAA,HYD,MAA,Domestic,2025-10-28,73,Boeing 737,174,150,684636.25,443256.52,17.2403,78.4294,12.9941,80.1709
FL119308,MAA-CCU,MAA,CCU,Domestic,2025-06-23,140,Airbus A320,180,143,653946.05,544281.47,12.9941,80.1709,22.6547,88.4467
FL119309,BLR-CCU,BLR,CCU,Domestic,2025-02-17,140,Airbus A320,180,160,950149.54,417548.27,13.1986,77.7066,22.6547,88.4467
FL119310,DEL-DXB,DEL,DXB,International,2025-04-01,195,Airbus A321,220,186,2462730.07,1465099.97,28.5562,77.1,25.2532,55.3657
FL119311,BLR-PNQ,BLR,PNQ,Domestic,2025-08-05,91,Boeing 737,174,148,647310.6,453829.72,13.1986,77.7066,18.5821,73.9197
FL119312,BOM-CCU,BOM,CCU,Domestic,2025-09-26,156,Airbus A321,220,182,1176114.97,592612.74,19.0896,72.8656,22.6547,88.4467
FL119313,BLR-MAA,BLR,MAA,Domestic,2025-01-06,65,Boeing 737,174,149,444229.88,411978.78,13.1986,77.7066,12.9941,80.1709
FL119314,BLR-COK,BLR,COK,Domestic,2025-01-03,51,Boeing 737,174,114,451016.36,401243.12,13.1986,77.7066,10.152,76.4019
FL119315,BOM-MAA,BOM,MAA,Domestic,2025-05-10,101,Boeing 737,174,139,687686.5,481552.78,19.0896,72.8656,12.9941,80.1709
FL119316,GOI-BOM,GOI,BOM,Domestic,2025-03-29,67,Boeing 737,174,130,397578.31,819827.37,15.3808,73.8314,19.0896,72.8656
FL119317,PNQ-BLR,PNQ,BLR,Domestic,2025-03-10,88,Boeing 737,174,99,357725.7,468789.26,18.5821,73.9197,13.1986,77.7066
FL119318,BOM-HYD,BOM,HYD,Domestic,2025-12-28,81,Airbus A321,220,145,590287.76,467259.88,19.0896,72.8656,17.2403,78.4294
FL119319,BOM-CCU,BOM,CCU,Domestic,2025-06-22,153,Airbus A320,180,136,824326.31,540096.65,19.0896,72.8656,22.6547,88.4467
FL119320,DEL-SIN,DEL,SIN,International,2025-04-28,338,Airbus A321,220,189,2895573.5,1843296.26,28.5562,77.1,1.3644,103.9915
FL119321,MAA-COK,MAA,COK,Domestic,2025-07-10,85,Boeing 737,174,115,443745.51,407981.7,12.9941,80.1709,10.152,76.4019
FL119322,DEL-BLR,DEL,BLR,Domestic,2025-02-16,152,Airbus A321,220,160,893852.47,556660.4,28.5562,77.1,13.1986,77.7066
FL119323,HYD-CCU,HYD,CCU,Domestic,2025-12-07,128,Boeing 737,174,153,780470.33,466047.08,17.2403,78.4294,22.6547,88.4467
FL119324,MAA-SIN,MAA,SIN,International,2025-06-18,253,Boeing 787,250,120,1459824.46,1636724.18,12.9941,80.1709,1.3644,103.9915
FL119325,BOM-DEL,BOM,DEL,Domestic,2025-10-25,113,Boeing 737,174,134,545563.36,457682.46,19.0896,72.8656,28.5562,77.1
FL119326,DEL-HYD,DEL,HYD,Domestic,2025-01-29,137,Airbus A320,180,127,536196.39,522255.02,28.5562,77.1,17.2403,78.4294
FL119327,COK-DEL,COK,DEL,Domestic,2025-09-11,189,Airbus A321,220,168,1135881.56,587034.97,10.152,76.4019,28.5562,77.1
FL119328,HYD-CCU,HYD,CCU,Domestic,2025-10-07,113,Airbus A320,180,156,892227.87,494830.6,17.2403,78.4294,22.6547,88.4467
FL119329,DEL-LHR,DEL,LHR,International,2025-06-11,520,Boeing 787,250,177,2924147.78,2297587.2,28.5562,77.1,51.47,-0.4543
FL119330,DEL-MAA,DEL,MAA,Domestic,2025-12-19,163,Boeing 737,174,140,817182.72,592073.93,28.5562,77.1,12.9941,80.1709
FL119331,BLR-DXB,BLR,DXB,International,2025-01-17,221,Boeing 737,174,111,1286668.18,1462974.6,13.1986,77.7066,25.2532,55.3657
FL119332,DEL-AMD,DEL,AMD,Domestic,2025-03-23,81,Airbus A321,220,212,955530.46,438781.33,28.5562,77.1,23.0772,72.6347
FL119333,LKO-DEL,LKO,DEL,Domestic,2025-01-21,67,Airbus A320,180,130,479276.46,729869.85,26.7606,80.8893,28.5562,77.1
FL119334,COK-BOM,COK,BOM,Domestic,2025-04-03,108,Airbus A320,180,143,567966.65,456967.66,10.152,76.4019,19.0896,72.8656
FL119335,GOI-BOM,GOI,BOM,Domestic,2025-11-25,63,Airbus A320,180,155,432186.97,936445.55,15.3808,73.8314,19.0896,72.8656
FL119336,MAA-CCU,MAA,CCU,Domestic,2025-10-04,133,Boeing 737,174,168,945007.77,536886.03,12.9941,80.1709,22.6547,88.4467
FL119337,DEL-HYD,DEL,HYD,Domestic,2025-03-09,127,Airbus A321,220,178,1027907.0,553529.31,28.5562,77.1,17.2403,78.4294
FL119338,BLR-DXB,BLR,DXB,International,2025-04-18,249,Boeing 737,174,136,2078401.72,1507034.23,13.1986,77.7066,25.2532,55.3657
FL119339,DEL-BLR,DEL,BLR,Domestic,2025-11-14,160,Boeing 737,174,141,918667.36,555723.02,28.5562,77.1,13.1986,77.7066
FL119340,LKO-DEL,LKO,DEL,Domestic,2025-01-12,61,Airbus A320,180,136,595374.76,729105.16,26.7606,80.8893,28.5562,77.1
FL119341,DEL-BKK,DEL,BKK,International,2025-07-25,258,Boeing 737,174,122,1727045.55,1578576.33,28.5562,77.1,13.69,100.7501
FL119342,DEL-SIN,DEL,SIN,International,2025-09-01,345,Boeing 787,250,130,1665225.81,1932102.14,28.5562,77.1,1.3644,103.9915
FL119343,MAA-COK,MAA,COK,Domestic,2025-01-15,70,Airbus A321,220,194,600116.74,472501.58,12.9941,80.1709,10.152,76.4019
FL119344,DEL-CDG,DEL,CDG,International,2025-06-29,526,Airbus A350,315,252,4512417.05,2345696.16,28.5562,77.1,49.0097,2.5479
FL119345,HYD-CCU,HYD,CCU,Domestic,2025-07-19,123,Airbus A320,180,126,692540.36,467707.76,17.2403,78.4294,22.6547,88.4467
FL119346,JAI-DEL,JAI,DEL,Domestic,2025-09-14,61,Boeing 737,174,143,465560.46,687755.39,26.8242,75.8122,28.5562,77.1
FL119347,BLR-COK,BLR,COK,Domestic,2025-04-24,61,Airbus A320,180,121,411027.26,440204.85,13.1986,77.7066,10.152,76.4019
FL119348,GOI-DEL,GOI,DEL,Domestic,2025-04-29,132,Airbus A320,180,148,722742.06,1153291.53,15.3808,73.8314,28.5562,77.1
FL119349,BOM-DOH,BOM,DOH,International,2025-10-04,203,Boeing 737,174,148,1619032.2,1387794.08,19.0896,72.8656,25.2731,51.6081
FL119350,COK-DEL,COK,DEL,Domestic,2025-06-14,192,Boeing 787,250,222,1360017.55,652312.17,10.152,76.4019,28.5562,77.1
FL119351,GOI-BOM,GOI,BOM,Domestic,2025-02-02,66,Boeing 737,174,151,569000.08,875067.22,15.3808,73.8314,19.0896,72.8656
FL119352,BLR-COK,BLR,COK,Domestic,2025-07-23,65,Boeing 737,174,120,523061.01,429559.2,13.1986,77.7066,10.152,76.4019
FL119353,BLR-HYD,BLR,HYD,Domestic,2025-09-29,69,Airbus A320,180,140,481434.29,375851.9,13.1986,77.7066,17.2403,78.4294
FL119354,BLR-KUL,BLR,KUL,International,2025-06-24,254,Boeing 787,250,145,1924671.94,1633484.64,13.1986,77.7066,2.7456,101.7072
FL119355,BLR-HYD,BLR,HYD,Domestic,2025-07-21,68,Airbus A321,220,180,702202.14,477608.99,13.1986,77.7066,17.2403,78.4294
FL119356,HYD-COK,HYD,COK,Domestic,2025-03-13,106,Boeing 737,174,144,732921.23,450709.09,17.2403,78.4294,10.152,76.4019
FL119357,BOM-MAA,BOM,MAA,Domestic,2025-06-04,109,Boeing 737,174,137,770993.21,482765.29,19.0896,72.8656,12.9941,80.1709
FL119358,DEL-AMD,DEL,AMD,Domestic,2025-05-23,96,Airbus A321,220,133,531144.07,525347.34,28.5562,77.1,23.0772,72.6347
FL119359,HYD-CCU,HYD,CCU,Domestic,2025-10-08,114,Airbus A320,180,175,869606.31,476223.34,17.2403,78.4294,22.6547,88.4467
FL119360,PNQ-BLR,PNQ,BLR,Domestic,2025-01-03,90,Airbus A321,220,186,869300.79,463579.8,18.5821,73.9197,13.1986,77.7066
FL119361,MAA-COK,MAA,COK,Domestic,2025-01-14,79,Airbus A321,220,157,494935.31,466762.69,12.9941,80.1709,10.152,76.4019
FL119362,BOM-SIN,BOM,SIN,International,2025-03-05,305,Boeing 787,250,198,2672505.75,1866176.67,19.0896,72.8656,1.3644,103.9915
FL119363,BLR-MAA,BLR,MAA,Domestic,2025-05-08,62,Boeing 737,174,139,495190.23,387903.39,13.1986,77.7066,12.9941,80.1709
FL119364,DEL-CDG,DEL,CDG,International,2025-09-30,511,Airbus A350,315,275,5934725.4,2412949.84,28.5562,77.1,49.0097,2.5479
FL119365,JAI-DEL,JAI,DEL,Domestic,2025-01-26,45,Airbus A321,220,147,486618.83,661688.05,26.8242,75.8122,28.5562,77.1
FL119366,BOM-MAA,BOM,MAA,Domestic,2025-02-01,122,Airbus A321,220,126,630432.92,658241.38,19.0896,72.8656,12.9941,80.1709
FL119367,AMD-DEL,AMD,DEL,Domestic,2025-08-10,89,Boeing 737,174,117,497564.84,453896.21,23.0772,72.6347,28.5562,77.1
FL119368,BLR-PNQ,BLR,PNQ,Domestic,2025-05-26,89,Airbus A320,180,144,692800.37,475823.14,13.1986,77.7066,18.5821,73.9197
FL119369,GOI-BOM,GOI,BOM,Domestic,2025-03-08,57,Boeing 737,174,127,456416.27,861906.28,15.3808,73.8314,19.0896,72.8656
FL119370,PNQ-BLR,PNQ,BLR,Domestic,2025-08-19,80,Airbus A321,220,137,555242.18,528569.86,18.5821,73.9197,13.1986,77.7066
FL119371,BOM-LHR,BOM,LHR,International,2025-08-05,571,Airbus A350,315,193,4045999.49,3123806.33,19.0896,72.8656,51.47,-0.4543
FL119372,DEL-AMD,DEL,AMD,Domestic,2025-09-19,96,Boeing 737,174,159,720206.4,484089.72,28.5562,77.1,23.0772,72.6347
FL119373,PNQ-DEL,PNQ,DEL,Domestic,2025-05-11,124,Boeing 737,174,121,670578.0,500966.62,18.5821,73.9197,28.5562,77.1
FL119374,HYD-COK,HYD,COK,Domestic,2025-07-29,103,Airbus A321,220,172,684715.13,550582.21,17.2403,78.4294,10.152,76.4019
FL119375,HYD-COK,HYD,COK,Domestic,2025-06-18,96,Airbus A320,180,141,649306.79,382156.91,17.2403,78.4294,10.152,76.4019
FL119376,DEL-MAA,DEL,MAA,Domestic,2025-03-17,164,Airbus A320,180,140,924678.72,559980.25,28.5562,77.1,12.9941,80.1709
FL119377,COK-BOM,COK,BOM,Domestic,2025-09-10,121,Airbus A320,180,155,759541.24,389416.63,10.152,76.4019,19.0896,72.8656
FL119378,BOM-HYD,BOM,HYD,Domestic,2025-10-22,75,Airbus A321,220,158,556980.81,543951.26,19.0896,72.8656,17.2403,78.4294
FL119379,MAA-SIN,MAA,SIN,International,2025-12-29,257,Airbus A321,220,172,2282195.41,1625860.23,12.9941,80.1709,1.3644,103.9915
FL119380,DEL-DOH,DEL,DOH,International,2025-10-28,223,Boeing 737,174,140,2079729.59,1611168.92,28.5562,77.1,25.2731,51.6081
FL119381,GOI-BOM,GOI,BOM,Domestic,2025-06-01,73,Airbus A320,180,138,449884.92,861179.76,15.3808,73.8314,19.0896,72.8656
FL119382,BLR-CCU,BLR,CCU,Domestic,2025-04-08,154,Airbus A320,180,118,541162.4,534085.18,13.1986,77.7066,22.6547,88.4467
FL119383,BOM-DXB,BOM,DXB,International,2025-11-22,173,Airbus A321,220,162,1811342.9,1377143.43,19.0896,72.8656,25.2532,55.3657
FL119384,JAI-DEL,JAI,DEL,Domestic,2025-06-21,54,Boeing 737,174,134,409965.66,704781.82,26.8242,75.8122,28.5562,77.1
FL119385,BOM-MAA,BOM,MAA,Domestic,2025-10-13,109,Airbus A320,180,128,446018.5,509856.12,19.0896,72.8656,12.9941,80.1709
FL119386,MAA-COK,MAA,COK,Domestic,2025-07-27,82,Airbus A320,180,123,289020.69,406436.61,12.9941,80.1709,10.152,76.4019
FL119387,PNQ-BLR,PNQ,BLR,Domestic,2025-07-01,91,Boeing 737,174,144,499180.74,380518.34,18.5821,73.9197,13.1986,77.7066
FL119388,LKO-DEL,LKO,DEL,Domestic,2025-05-31,64,Airbus A321,220,168,705824.14,736175.44,26.7606,80.8893,28.5562,77.1
FL119389,BLR-HYD,BLR,HYD,Domestic,2025-06-08,66,Airbus A321,220,191,790352.52,434563.85,13.1986,77.7066,17.2403,78.4294
FL119390,DEL-CCU,DEL,CCU,Domestic,2025-05-31,136,Airbus A321,220,165,931526.04,537448.19,28.5562,77.1,22.6547,88.4467
FL119391,HYD-MAA,HYD,MAA,Domestic,2025-08-28,71,Airbus A321,220,151,532295.13,478309.21,17.2403,78.4294,12.9941,80.1709
FL119392,BLR-HYD,BLR,HYD,Domestic,2025-01-02,80,Boeing 737,174,125,558730.49,448930.86,13.1986,77.7066,17.2403,78.4294
FL119393,BOM-BKK,BOM,BKK,International,2025-08-24,232,Airbus A321,220,165,2348591.4,1632085.51,19.0896,72.8656,13.69,100.7501
FL119394,DEL-BLR,DEL,BLR,Domestic,2025-07-06,159,Airbus A320,180,136,755397.49,479134.84,28.5562,77.1,13.1986,77.7066
FL119395,BLR-MAA,BLR,MAA,Domestic,2025-12-14,67,Airbus A320,180,174,698267.98,403875.76,13.1986,77.7066,12.9941,80.1709
FL119396,BOM-DEL,BOM,DEL,Domestic,2025-06-04,109,Boeing 737,174,124,576247.91,477502.06,19.0896,72.8656,28.5562,77.1
FL119397,DEL-JFK,DEL,JFK,International,2025-07-23,891,Boeing 787,250,185,3773531.24,3370266.23,28.5562,77.1,40.6413,-73.7781
FL119398,PNQ-DEL,PNQ,DEL,Domestic,2025-09-19,140,Airbus A320,180,154,860172.12,532121.58,18.5821,73.9197,28.5562,77.1
FL119399,BOM-MAA,BOM,MAA,Domestic,2025-02-08,105,Airbus A320,180,142,933223.28,433738.88,19.0896,72.8656,12.9941,80.1709
FL119400,HYD-CCU,HYD,CCU,Domestic,2025-01-24,127,Boeing 737,174,113,638240.11,485957.21,17.2403,78.4294,22.6547,88.4467
FL119401,BLR-MAA,BLR,MAA,Domestic,2025-01-13,50,Airbus A320,180,127,380462.98,403656.83,13.1986,77.7066,12.9941,80.1709
FL119402,BLR-COK,BLR,COK,Domestic,2025-02-11,50,Airbus A320,180,145,425674.97,377912.41,13.1986,77.7066,10.152,76.4019
FL119403,BLR-MAA,BLR,MAA,Domestic,2025-03-10,77,Airbus A320,180,151,519036.74,384588.77,13.1986,77.7066,12.9941,80.1709
FL119404,HYD-MAA,HYD,MAA,Domestic,2025-05-29,67,Boeing 737,174,115,403333.72,451494.02,17.2403,78.4294,12.9941,80.1709
FL119405,DEL-MAA,DEL,MAA,Domestic,2025-04-17,162,Airbus A320,180,161,1026917.05,517138.27,28.5562,77.1,12.9941,80.1709
FL119406,DEL-DXB,DEL,DXB,International,2025-02-08,186,Boeing 787,250,125,1763160.01,1601856.95,28.5562,77.1,25.2532,55.3657
FL119407,AMD-BLR,AMD,BLR,Domestic,2025-04-18,137,Airbus A320,180,122,532527.45,514843.7,23.0772,72.6347,13.1986,77.7066
FL119408,BOM-FRA,BOM,FRA,International,2025-04-02,515,Airbus A350,315,256,4704439.94,2461684.6,19.0896,72.8656,50.0379,8.5622
FL119409,DEL-HYD,DEL,HYD,Domestic,2025-03-30,131,Airbus A320,180,163,857347.94,507560.39,28.5562,77.1,17.2403,78.4294
FL119410,BOM-DEL,BOM,DEL,Domestic,2025-06-06,109,Airbus A320,180,122,591742.5,428911.5,19.0896,72.8656,28.5562,77.1
FL119411,LKO-DEL,LKO,DEL,Domestic,2025-07-17,67,Boeing 737,174,114,513156.09,711519.31,26.7606,80.8893,28.5562,77.1
FL119412,BOM-DEL,BOM,DEL,Domestic,2025-01-14,122,Airbus A320,180,112,573826.06,647527.76,19.0896,72.8656,28.5562,77.1
FL119413,BLR-CCU,BLR,CCU,Domestic,2025-05-08,146,Boeing 737,174,128,639872.58,530716.8,13.1986,77.7066,22.6547,88.4467
FL119414,DEL-AMD,DEL,AMD,Domestic,2025-09-01,102,Boeing 737,174,157,619934.4,485425.91,28.5562,77.1,23.0772,72.6347
FL119415,BLR-PNQ,BLR,PNQ,Domestic,2025-07-23,85,Airbus A320,180,165,738767.02,397784.02,13.1986,77.7066,18.5821,73.9197
FL119416,DEL-LHR,DEL,LHR,International,2025-07-06,526,Boeing 777,350,258,4839526.26,2475768.74,28.5562,77.1,51.47,-0.4543
FL119417,BLR-PNQ,BLR,PNQ,Domestic,2025-08-10,93,Airbus A320,180,119,491518.64,452696.22,13.1986,77.7066,18.5821,73.9197
FL119418,DEL-CCU,DEL,CCU,Domestic,2025-02-18,132,Airbus A320,180,126,643084.7,447012.4,28.5562,77.1,22.6547,88.4467
FL119419,BLR-MAA,BLR,MAA,Domestic,2025-12-05,45,Airbus A320,180,130,523255.53,391103.3,13.1986,77.7066,12.9941,80.1709
FL119420,DEL-CCU,DEL,CCU,Domestic,2025-06-24,133,Airbus A321,220,164,895233.38,592387.69,28.5562,77.1,22.6547,88.4467
FL119421,BOM-BLR,BOM,BLR,Domestic,2025-03-24,97,Boeing 737,174,127,598007.53,421421.11,19.0896,72.8656,13.1986,77.7066
FL119422,BLR-MAA,BLR,MAA,Domestic,2025-07-29,53,Airbus A321,220,177,613193.83,427233.15,13.1986,77.7066,12.9941,80.1709
FL119423,BOM-MAA,BOM,MAA,Domestic,2025-09-13,109,Airbus A320,180,143,671651.42,493790.09,19.0896,72.8656,12.9941,80.1709
FL119424,BLR-DXB,BLR,DXB,International,2025-03-25,243,Boeing 737,174,140,1919788.96,1457556.29,13.1986,77.7066,25.2532,55.3657
FL119425,COK-BOM,COK,BOM,Domestic,2025-02-04,107,Airbus A321,220,148,575925.31,491416.87,10.152,76.4019,19.0896,72.8656
FL119426,MAA-COK,MAA,COK,Domestic,2025-09-29,79,Airbus A320,180,122,627687.63,354580.54,12.9941,80.1709,10.152,76.4019
FL119427,MAA-COK,MAA,COK,Domestic,2025-09-30,85,Airbus A320,180,133,417537.19,432484.04,12.9941,80.1709,10.152,76.4019
FL119428,BLR-COK,BLR,COK,Domestic,2025-03-25,61,Airbus A320,180,128,526236.5,456003.67,13.1986,77.7066,10.152,76.4019
FL119429,MAA-CCU,MAA,CCU,Domestic,2025-06-24,128,Boeing 737,174,114,563776.9,436889.74,12.9941,80.1709,22.6547,88.4467
FL119430,BOM-DOH,BOM,DOH,International,2025-04-03,205,Boeing 787,250,184,2209439.64,1530154.95,19.0896,72.8656,25.2731,51.6081
FL119431,BOM-MAA,BOM,MAA,Domestic,2025-09-02,117,Airbus A321,220,157,884479.67,527602.87,19.0896,72.8656,12.9941,80.1709
FL119432,BLR-MAA,BLR,MAA,Domestic,2025-03-25,53,Airbus A320,180,175,612420.67,412643.7,13.1986,77.7066,12.9941,80.1709
FL119433,BOM-CCU,BOM,CCU,Domestic,2025-01-31,148,Airbus A321,220,157,935338.57,532558.55,19.0896,72.8656,22.6547,88.4467
FL119434,DEL-HYD,DEL,HYD,Domestic,2025-08-06,115,Airbus A321,220,162,849258.22,526031.23,28.5562,77.1,17.2403,78.4294
FL119435,BOM-BLR,BOM,BLR,Domestic,2025-07-10,99,Airbus A320,180,130,475365.64,506517.85,19.0896,72.8656,13.1986,77.7066
FL119436,DEL-MAA,DEL,MAA,Domestic,2025-07-11,164,Airbus A320,180,150,781633.44,541446.24,28.5562,77.1,12.9941,80.1709
FL119437,DEL-CDG,DEL,CDG,International,2025-06-28,512,Boeing 777,350,245,3279959.59,2385495.28,28.5562,77.1,49.0097,2.5479
FL119438,PNQ-DEL,PNQ,DEL,Domestic,2025-10-01,105,Airbus A320,180,136,703076.27,507851.27,18.5821,73.9197,28.5562,77.1
FL119439,GOI-BOM,GOI,BOM,Domestic,2025-12-11,59,Boeing 737,174,143,539362.46,794390.82,15.3808,73.8314,19.0896,72.8656
FL119440,HYD-MAA,HYD,MAA,Domestic,2025-06-12,71,Airbus A320,180,167,609852.04,419608.89,17.2403,78.4294,12.9941,80.1709
FL119441,MAA-SIN,MAA,SIN,International,2025-10-12,250,Boeing 787,250,219,3093020.0,1700459.28,12.9941,80.1709,1.3644,103.9915
FL119442,BOM-CDG,BOM,CDG,International,2025-01-13,548,Airbus A350,315,274,4180258.47,3144952.64,19.0896,72.8656,49.0097,2.5479
FL119443,DEL-SYD,DEL,SYD,International,2025-09-05,805,Airbus A350,315,253,5185804.98,3400882.26,28.5562,77.1,-33.9399,151.1753
FL119444,DEL-AMD,DEL,AMD,Domestic,2025-07-27,89,Boeing 737,174,138,539290.29,517132.94,28.5562,77.1,23.0772,72.6347
FL119445,BOM-BKK,BOM,BKK,International,2025-04-15,254,Boeing 737,174,169,2251741.0,1621498.7,19.0896,72.8656,13.69,100.7501
FL119446,BOM-CCU,BOM,CCU,Domestic,2025-06-02,158,Boeing 737,174,82,470785.4,686657.6,19.0896,72.8656,22.6547,88.4467
FL119447,PNQ-DEL,PNQ,DEL,Domestic,2025-01-01,118,Airbus A320,180,159,693042.08,481064.02,18.5821,73.9197,28.5562,77.1
FL119448,DEL-FRA,DEL,FRA,International,2025-06-28,493,Boeing 787,250,202,3652878.03,2205977.37,28.5562,77.1,50.0379,8.5622
FL119449,DEL-CCU,DEL,CCU,Domestic,2025-10-13,128,Airbus A320,180,143,748092.99,506015.76,28.5562,77.1,22.6547,88.4467
FL119450,BOM-DEL,BOM,DEL,Domestic,2025-09-26,120,Boeing 737,174,154,627354.1,474150.8,19.0896,72.8656,28.5562,77.1
FL119451,BOM-MAA,BOM,MAA,Domestic,2025-01-12,106,Airbus A320,180,156,681238.66,489192.53,19.0896,72.8656,12.9941,80.1709
FL119452,PNQ-BLR,PNQ,BLR,Domestic,2025-06-04,84,Boeing 737,174,143,621754.93,438596.96,18.5821,73.9197,13.1986,77.7066
FL119453,DEL-LHR,DEL,LHR,International,2025-11-22,533,Airbus A350,315,244,3976244.73,2390807.51,28.5562,77.1,51.47,-0.4543
FL119454,BLR-KUL,BLR,KUL,International,2025-05-31,242,Boeing 737,174,127,1452712.85,1471833.09,13.1986,77.7066,2.7456,101.7072
FL119455,DEL-HYD,DEL,HYD,Domestic,2025-08-21,133,Airbus A320,180,98,482554.87,646047.21,28.5562,77.1,17.2403,78.4294
FL119456,GOI-BOM,GOI,BOM,Domestic,2025-05-02,64,Boeing 737,174,138,604121.66,833173.18,15.3808,73.8314,19.0896,72.8656
FL119457,DEL-JFK,DEL,JFK,International,2025-04-25,896,Boeing 777,350,296,6197795.45,3531711.98,28.5562,77.1,40.6413,-73.7781
FL119458,BLR-PNQ,BLR,PNQ,Domestic,2025-12-29,86,Boeing 737,174,101,481988.25,447501.94,13.1986,77.7066,18.5821,73.9197
FL119459,MAA-CCU,MAA,CCU,Domestic,2025-12-18,135,Boeing 737,174,147,683842.7,584901.53,12.9941,80.1709,22.6547,88.4467
FL119460,HYD-MAA,HYD,MAA,Domestic,2025-11-26,65,Airbus A320,180,118,353633.79,398646.92,17.2403,78.4294,12.9941,80.1709
FL119461,BOM-BLR,BOM,BLR,Domestic,2025-08-07,104,Boeing 737,174,109,438545.86,458168.0,19.0896,72.8656,13.1986,77.7066
FL119462,DEL-CCU,DEL,CCU,Domestic,2025-04-19,137,Airbus A320,180,131,776763.01,476564.13,28.5562,77.1,22.6547,88.4467
FL119463,AMD-BLR,AMD,BLR,Domestic,2025-07-09,123,Airbus A320,180,138,690914.58,484183.76,23.0772,72.6347,13.1986,77.7066
FL119464,BLR-KUL,BLR,KUL,International,2025-01-23,247,Boeing 737,174,155,2556254.33,1560557.79,13.1986,77.7066,2.7456,101.7072
FL119465,DEL-AMD,DEL,AMD,Domestic,2025-01-27,80,Airbus A321,220,166,618331.97,425098.63,28.5562,77.1,23.0772,72.6347
